Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6142619,WHS4_544,COUNTRY,BGR,YEAR,EUR,Europe,,2005,,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
6143417,WHS4_544,COUNTRY,MWI,YEAR,AFR,Africa,,2004,,,,,,,,94,94.0,,,,2025-07-14T16:23:12.92+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
6150932,WHS4_544,COUNTRY,SAU,YEAR,EMR,Eastern Mediterranean,,2024,,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
6155892,WHS4_544,COUNTRY,PAK,YEAR,EMR,Eastern Mediterranean,,2006,,,,,,,,58,58.0,,,,2025-07-14T16:23:12.92+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
6157425,WHS4_544,COUNTRY,MDG,YEAR,AFR,Africa,,2020,,,,,,,,66,66.0,,,,2025-07-14T16:23:12.92+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
6164321,WHS4_544,COUNTRY,MHL,YEAR,WPR,Western Pacific,,2022,,,,,,,,86,86.0,,,,2025-07-14T16:23:12.92+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
6170476,WHS4_544,REGION,AMR,YEAR,,,,2002,,,,,,,,92,92.0,,,,2025-07-14T16:23:12.92+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
6170883,WHS4_544,COUNTRY,AFG,YEAR,EMR,Eastern Mediterranean,,2008,,,,,,,,64,64.0,,,,2025-07-14T16:23:12.92+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
6181383,WHS4_544,COUNTRY,KNA,YEAR,AMR,Americas,,2019,,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6183253,WHS4_544,COUNTRY,BGR,YEAR,EUR,Europe,,2011,,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
6187676,WHS4_544,COUNTRY,COM,YEAR,AFR,Africa,,2004,,,,,,,,73,73.0,,,,2025-07-14T16:23:12.92+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
6188294,WHS4_544,WORLDBANKINCOMEGROUP,WB_LI,YEAR,,,,2024,,,,,,,,68,68.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
6189226,WHS4_544,COUNTRY,POL,YEAR,EUR,Europe,,2019,,,,,,,,87,87.0,,,,2025-07-14T16:23:12.92+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
6189468,WHS4_544,COUNTRY,DOM,YEAR,AMR,Americas,,2018,,,,,,,,86,86.0,,,,2025-07-14T16:23:12.92+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
6189863,WHS4_544,COUNTRY,BEN,YEAR,AFR,Africa,,2017,,,,,,,,72,72.0,,,,2025-07-14T16:23:12.92+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
6195739,WHS4_544,COUNTRY,KGZ,YEAR,EUR,Europe,,2008,,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
6195906,WHS4_544,COUNTRY,NOR,YEAR,EUR,Europe,,2013,,,,,,,,94,94.0,,,,2025-07-14T16:23:12.92+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
6196248,WHS4_544,WORLDBANKINCOMEGROUP,WB_HI,YEAR,,,,2016,,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
6196493,WHS4_544,REGION,AFR,YEAR,,,,2015,,,,,,,,71,71.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
6199914,WHS4_544,COUNTRY,ETH,YEAR,AFR,Africa,,2001,,,,,,,,51,51.0,,,,2025-07-14T16:23:12.92+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
