Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1990356,WHS4_543,COUNTRY,DJI,EMR,YEAR,Eastern Mediterranean,,,2022,,,,,,,61,61.0,,,,2025-07-14T16:23:12.92+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
1990892,WHS4_543,COUNTRY,KHM,WPR,YEAR,Western Pacific,,,2017,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
1996182,WHS4_543,COUNTRY,PER,AMR,YEAR,Americas,,,2001,,,,,,,87,87.0,,,,2025-07-14T16:23:12.92+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
1996574,WHS4_543,COUNTRY,BGR,EUR,YEAR,Europe,,,2008,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
2001327,WHS4_543,COUNTRY,CHN,WPR,YEAR,Western Pacific,,,2009,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
2003737,WHS4_543,COUNTRY,KOR,WPR,YEAR,Western Pacific,,,2022,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
2009253,WHS4_543,COUNTRY,ROU,EUR,YEAR,Europe,,,2019,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
2009532,WHS4_543,COUNTRY,ZMB,AFR,YEAR,Africa,,,2023,,,,,,,91,91.0,,,,2025-07-14T16:23:12.92+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
2010560,WHS4_543,COUNTRY,WSM,WPR,YEAR,Western Pacific,,,2001,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
2011516,WHS4_543,COUNTRY,ZAF,AFR,YEAR,Africa,,,2016,,,,,,,79,79.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
2021204,WHS4_543,COUNTRY,HRV,EUR,YEAR,Europe,,,2009,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
2029493,WHS4_543,COUNTRY,GTM,AMR,YEAR,Americas,,,2007,,,,,,,88,88.0,,,,2025-07-14T16:23:12.92+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
2029516,WHS4_543,COUNTRY,SWZ,AFR,YEAR,Africa,,,2017,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
2030142,WHS4_543,COUNTRY,MLI,AFR,YEAR,Africa,,,2002,,,,,,,82,82.0,,,,2025-07-14T16:23:12.92+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
2033415,WHS4_543,GLOBAL,GLOBAL,,YEAR,,,,2017,,,,,,,90,90.0,,,,2025-07-14T16:23:12.92+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
2035353,WHS4_543,COUNTRY,ETH,AFR,YEAR,Africa,,,2002,,,,,,,60,60.0,,,,2025-07-14T16:23:12.92+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
2036885,WHS4_543,COUNTRY,IDN,WPR,YEAR,Western Pacific,,,2017,,,,,,,93,93.0,,,,2025-07-14T16:23:12.92+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
2039811,WHS4_543,COUNTRY,HTI,AMR,YEAR,Americas,,,2013,,,,,,,82,82.0,,,,2025-07-14T16:23:12.92+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
2040101,WHS4_543,COUNTRY,COL,AMR,YEAR,Americas,,,2000,,,,,,,91,91.0,,,,2025-07-14T16:23:12.92+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
2041671,WHS4_543,COUNTRY,PRK,SEAR,YEAR,South-East Asia,,,2019,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
2046734,WHS4_543,COUNTRY,PRT,EUR,YEAR,Europe,,,2009,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
2048091,WHS4_543,COUNTRY,GTM,AMR,YEAR,Americas,,,2005,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
2048711,WHS4_543,COUNTRY,KWT,EMR,YEAR,Eastern Mediterranean,,,2015,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
2049649,WHS4_543,COUNTRY,GNB,AFR,YEAR,Africa,,,2015,,,,,,,92,92.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
2053771,WHS4_543,COUNTRY,NGA,AFR,YEAR,Africa,,,2019,,,,,,,75,75.0,,,,2025-07-14T16:23:12.92+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
2053774,WHS4_543,COUNTRY,LBR,AFR,YEAR,Africa,,,2004,,,,,,,60,60.0,,,,2025-07-14T16:23:12.92+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
2054025,WHS4_543,COUNTRY,IRL,EUR,YEAR,Europe,,,2013,,,,,,,76,76.0,,,,2025-07-14T16:23:12.92+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
2054437,WHS4_543,COUNTRY,BEN,AFR,YEAR,Africa,,,2016,,,,,,,88,88.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
2060840,WHS4_543,COUNTRY,GTM,AMR,YEAR,Americas,,,2008,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
2062242,WHS4_543,COUNTRY,FSM,WPR,YEAR,Western Pacific,,,2018,,,,,,,80,80.0,,,,2025-07-14T16:23:12.92+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
2064878,WHS4_543,COUNTRY,SOM,EMR,YEAR,Eastern Mediterranean,,,2001,,,,,,,70,70.0,,,,2025-07-14T16:23:12.92+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
2074634,WHS4_543,COUNTRY,LCA,AMR,YEAR,Americas,,,2010,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
2077347,WHS4_543,COUNTRY,ARE,EMR,YEAR,Eastern Mediterranean,,,2004,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
2078724,WHS4_543,WORLDBANKINCOMEGROUP,WB_HI,,YEAR,,,,2004,,,,,,,92,92.0,,,,2025-07-14T16:23:12.92+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
2080438,WHS4_543,COUNTRY,NAM,AFR,YEAR,Africa,,,2008,,,,,,,88,88.0,,,,2025-07-14T16:23:12.92+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
2096298,WHS4_543,WORLDBANKINCOMEGROUP,WB_HI,,YEAR,,,,2023,,,,,,,93,93.0,,,,2025-07-14T16:23:12.92+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
2096581,WHS4_543,COUNTRY,EGY,EMR,YEAR,Eastern Mediterranean,,,2002,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
2105303,WHS4_543,COUNTRY,LKA,SEAR,YEAR,South-East Asia,,,2021,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
2106591,WHS4_543,COUNTRY,TUN,EMR,YEAR,Eastern Mediterranean,,,2011,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
2110174,WHS4_543,COUNTRY,NPL,SEAR,YEAR,South-East Asia,,,2011,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
2111306,WHS4_543,COUNTRY,BIH,EUR,YEAR,Europe,,,2015,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
2111826,WHS4_543,COUNTRY,DOM,AMR,YEAR,Americas,,,2000,,,,,,,90,90.0,,,,2025-07-14T16:23:12.92+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
2116396,WHS4_543,COUNTRY,KOR,WPR,YEAR,Western Pacific,,,2024,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
2123033,WHS4_543,COUNTRY,SYC,AFR,YEAR,Africa,,,2019,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
2124587,WHS4_543,COUNTRY,HND,AMR,YEAR,Americas,,,2023,,,,,,,72,72.0,,,,2025-07-14T16:23:12.92+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
2131366,WHS4_543,REGION,EMR,,YEAR,,,,2002,,,,,,,78,78.0,,,,2025-07-14T16:23:12.92+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
2143615,WHS4_543,COUNTRY,BDI,AFR,YEAR,Africa,,,2015,,,,,,,93,93.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
2147748,WHS4_543,COUNTRY,GHA,AFR,YEAR,Africa,,,2015,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
