iso3,year,agriculture_gdp_pct,basic_sanitation_access,basic_water_access,births_attended_skilled,death_rate,electricity_access_pct,exports_pct_gdp,fertility_rate,food_production_index,gdp_growth,gdp_per_capita_ppp,gini_index,health_expenditure_pct_gdp,health_expenditure_per_capita,infant_mortality,internet_users_pct,life_expectancy_total,literacy_rate,nurses_midwives_per_1000,oop_health_expenditure_pct,physicians_per_1000,pm25_exposure,population,population_65_plus,population_density,tax_revenue_pct_gdp,unemployment_pct,urban_population_pct
PSE,2008,10.1280367695338,92.8715067384258,96.2724627426521,,3.71,99.8,15.9362004815058,4.509,137.74,7.42918225547835,4984.80579890695,,10.52610016,349.687357036799,20.4,24.3579998,72.204,94.0100021362305,,35.79999924,,30.7259096438031,3591977.0,2.78215913360018,596.673920265781,,22.913,83.0979098899913
PSE,2009,10.0213957975191,93.3543676724512,96.7516575429854,,3.734,99.9,14.0161025019479,4.44,119.73,8.59349087893864,5270.66331643219,34.5,10.76468372,381.552064533282,19.7,32.23,72.306,94.4300003051758,,39.20000076,,31.5753443122198,3689099.0,2.8387915473806,612.807142857143,,20.452,83.5050344815957
PSE,2010,9.00273717915612,93.8369024914522,97.2297787451688,99.0,3.463,99.9,14.1228115477973,4.434,101.52,5.77736205629419,5432.24363072522,35.3,9.10499382,337.289202306835,19.0,37.40000153,73.302,94.7200012207031,,36.0,,31.9192556933104,3786161.0,2.89589113836226,628.930398671096,,21.416,83.8853491139676
PSE,2011,8.34249649118102,94.3190277945478,97.706730631295,,3.431,99.7,16.0860353474401,4.305,111.82,9.60080848913594,5805.32115329251,34.4,11.34622478,458.863761783045,18.3,41.08000183,73.557,95.0299987792969,,44.59999847,,28.606630623344,3882986.0,2.95505912122661,645.014285714286,,17.597,84.2340950604341
PSE,2012,8.10589430228367,94.800706660906,98.182466002808,,3.425,99.8,15.3263326889683,4.154,117.04,6.09645656326154,6009.10925822042,,10.30110455,483.715833222129,17.7,43.4,73.722,95.6699981689453,,43.79999924,,27.2379610304191,3979998.0,3.01775929806399,661.129235880399,,19.202,84.5465135943222
PSE,2013,7.59868299359994,95.2818879253375,98.5793947721918,,3.341,99.9,15.6198438829492,4.049,112.36,4.69856986552234,6142.20204342591,,10.44874382,497.82194220553,17.0,46.59999847,74.14,96.0500030517578,,42.70000076,,31.1625763830924,4076708.0,3.07821509269255,677.194019933555,,19.894,84.8178459889593
PSE,2014,7.83505007255338,95.7625423734235,98.968060270875,99.6,3.855,99.9,15.8230698299463,3.995,103.43,-0.157866650855297,5990.42661523778,,9.92015553,504.551245685249,17.6,53.6651997924171,72.781,96.2099990844727,,44.40000153,,29.2886843311089,4173398.0,3.14478547488197,693.255481727575,,20.526,85.0433335176723
PSE,2015,7.40889181529301,96.2425962734405,99.2037493504784,,3.318,99.9,16.0623801208096,3.977,90.42,3.72129967114788,6072.65031768549,,9.28473282,505.932246673966,15.8,56.70000076,74.577,96.4800033569336,,44.79999924,,30.4615510423627,4270092.0,3.21502621326908,709.317607973422,,23.005,85.2182174537886
PSE,2016,7.60382722941306,96.7220200053128,99.3094975837185,,3.262,100.0,14.3267945006296,3.887,106.16,8.86461881995935,6464.13352537371,33.7,9.0039854,514.542791976022,15.2,59.90000153,74.917,96.7200012207031,,42.70000076,,26.5563697979811,4367088.0,3.28405075269727,725.429900332226,,23.939,85.3377390706351
PSE,2017,7.0405505952381,97.2007822905197,99.2241825771885,,3.218,99.9,15.7242063492063,3.771,111.65,1.41936756294787,6426.79521615335,,9.1223526,523.249404940482,14.6,63.29999924,75.216,96.9199981689453,2.573,41.73205948,1.774,26.6750824440453,4454805.0,3.35569557065348,740.000830564784,,25.677,85.3782255354
PSE,2018,7.3596451347333,97.6788204548577,99.1372582782546,,3.217,100.0,15.961564454493,3.674,127.19,1.22707737782703,6342.9374800852,,9.65617657,565.376816612453,14.1,64.3999937114499,75.38,97.2200012207031,1.953,39.49508286,2.168,29.1340212387581,4569087.0,3.4276431178253,758.984551495017,,26.256,85.5351131070872
PSE,2019,7.05401698427058,98.156123198693,99.0486719868248,,3.134,100.0,15.5210552426533,3.591,126.88,1.36268746558062,6269.89134527985,,9.18576908,564.995186886873,13.6,70.6225837001758,75.811,97.379997253418,,38.69657516,,29.6822493738623,4685306.0,3.50508535292495,778.290033222591,,25.34,85.8136174183656
PSE,2020,7.10160510439939,98.6215954059263,98.9584055042094,99.7,3.391,100.0,15.3576234410914,3.511,116.86,-11.3184661065134,5423.68254653126,,10.27610207,579.908263104133,13.2,76.18160248,74.998,97.5100021362305,,38.39196014,,26.3636264444046,4803269.0,3.57539471825902,797.885215946844,,25.895,86.0741183743925
PSE,2021,6.31674857805511,99.0621470403227,98.8663957531696,,3.768,100.0,17.3411011099453,3.442,117.39,7.01198227592003,5663.12160743584,,10.4347353,561.006843254824,12.8,,73.89,97.6840000894857,,33.39273071,,,4922749.0,3.63026654688014,817.05377593361,,26.39,86.334956387337
PSE,2022,5.74521927421669,99.3771389277401,98.7809438464901,,2.992,100.0,18.4362526414651,3.375,111.76,4.08276027347105,5753.08395899307,,9.70613861,568.709357459153,12.3,88.64690554,76.662,97.8399963378906,,33.55230331,,,5043612.0,3.70279929202472,837.114024896266,,24.42,86.5961423216016
PSE,2023,5.7037522621709,99.3925426491979,98.7763586678986,,7.198,100.0,17.745505073426,3.311,,-4.55580428525744,5361.13098084938,36.4,10.73343945,604.437015973915,16.8,86.63765334,65.17,,,42.07169342,,,5165775.0,3.80247435781418,857.390041493776,,,86.8576870415886
PSE,2024,,99.3950169288026,98.7717073984261,,5.87,,21.0398873905084,3.25,,-26.5575264529877,3845.50297375419,,,,17.0,,69.213,97.9389541214558,,,,,5289152.0,3.83773428275027,,,,87.1196014117004
