Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6274004,UHC_INDEX_REPORTED,COUNTRY,ARE,YEAR,EMR,Eastern Mediterranean,,,2005,,,,,,,71,71.0,,,,2025-12-05T11:39:13.277+01:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
6275370,UHC_INDEX_REPORTED,COUNTRY,CIV,YEAR,AFR,Africa,,,2011,,,,,,,36,36.0,,,,2025-12-05T11:39:13.277+01:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
6276601,UHC_INDEX_REPORTED,COUNTRY,SLV,YEAR,AMR,Americas,,,2023,,,,,,,79,79.0,,,,2025-12-05T11:39:13.277+01:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
6281549,UHC_INDEX_REPORTED,COUNTRY,CHN,YEAR,WPR,Western Pacific,,,2018,,,,,,,81,81.0,,,,2025-12-05T11:39:13.277+01:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
6283725,UHC_INDEX_REPORTED,COUNTRY,KEN,YEAR,AFR,Africa,,,2021,,,,,,,53,53.0,,,,2025-12-05T11:39:13.277+01:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
6286638,UHC_INDEX_REPORTED,COUNTRY,MRT,YEAR,AFR,Africa,,,2023,,,,,,,40,40.0,,,,2025-12-05T11:39:13.277+01:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
6287863,UHC_INDEX_REPORTED,COUNTRY,NPL,YEAR,SEAR,South-East Asia,,,2020,,,,,,,51,51.0,,,,2025-12-05T11:39:13.277+01:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
6287959,UHC_INDEX_REPORTED,COUNTRY,BFA,YEAR,AFR,Africa,,,2018,,,,,,,39,39.0,,,,2025-12-05T11:39:13.277+01:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
6289581,UHC_INDEX_REPORTED,COUNTRY,FRA,YEAR,EUR,Europe,,,2022,,,,,,,82,82.0,,,,2025-12-05T11:39:13.277+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
6292812,UHC_INDEX_REPORTED,COUNTRY,FRA,YEAR,EUR,Europe,,,2010,,,,,,,79,79.0,,,,2025-12-05T11:39:13.277+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
6294510,UHC_INDEX_REPORTED,COUNTRY,GBR,YEAR,EUR,Europe,,,2001,,,,,,,78,78.0,,,,2025-12-05T11:39:13.277+01:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
6295041,UHC_INDEX_REPORTED,COUNTRY,TJK,YEAR,EUR,Europe,,,2016,,,,,,,72,72.0,,,,2025-12-05T11:39:13.277+01:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
6298722,UHC_INDEX_REPORTED,COUNTRY,TCD,YEAR,AFR,Africa,,,2004,,,,,,,16,16.0,,,,2025-12-05T11:39:13.277+01:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
